50,medium
21,easy
25,easy
70,difficult
60,medium
75,difficult
17,easy
50,medium
80,difficult
5,easy
140,difficult
55,medium
50,medium
195,difficult
10,easy
20,easy
20,easy
95,difficult
25,easy
20,easy
40,medium
60,medium
110,difficult
25,easy
180,difficult
25,easy
40,medium
30,medium
35,medium
145,difficult
195,difficult
70,difficult
30,medium
40,medium
75,difficult
75,difficult
155,difficult
70,difficult
10,easy
40,medium
365,difficult
27,easy
85,difficult
55,medium
25,easy
65,difficult
25,easy
20,easy
135,difficult
150,difficult
30,medium
40,medium
65,difficult
430,difficult
140,difficult
40,medium
70,difficult
30,medium
25,easy
70,difficult
17,easy
20,easy
5,easy
75,difficult
40,medium
65,difficult
20,easy
100,difficult
27,easy
15,easy
30,medium
45,medium
105,difficult
0,Invalid case
15,easy
23,easy
10,easy
15,easy
30,medium
25,easy
60,medium
90,difficult
60,medium
80,difficult
30,medium
115,difficult
155,difficult
125,difficult
33,medium
70,difficult
60,medium
35,medium
45,medium
60,medium
45,medium
150,difficult
60,medium
30,medium
55,medium
50,medium
85,difficult
22,easy
35,medium
189,difficult
75,difficult
90,difficult
80,difficult
30,medium
25,easy
90,difficult
35,medium
40,medium
20,easy
50,medium
105,difficult
50,medium
15,easy
140,difficult
40,medium
15,easy
45,medium
45,medium
135,difficult
35,medium
55,medium
30,medium
75,difficult
25,easy
50,medium
15,easy
75,difficult
30,medium
50,medium
30,medium
55,medium
20,easy
35,medium
25,easy
65,difficult
25,easy
35,medium
50,medium
35,medium
30,medium
10,easy
90,difficult
95,difficult
35,medium
25,easy
35,medium
145,difficult
10,easy
60,medium
110,difficult
25,easy
75,difficult
10,easy
30,medium
20,easy
65,difficult
20,easy
20,easy
45,medium
70,difficult
60,medium
30,medium
55,medium
40,medium
90,difficult
26,easy
65,difficult
30,medium
20,easy
190,difficult
190,difficult
15,easy
135,difficult
80,difficult
26,easy
50,medium
15,easy
40,medium
60,medium
35,medium
120,difficult
90,difficult
150,difficult
140,difficult
90,difficult
90,difficult
25,easy
30,medium
70,difficult
50,medium
45,medium
30,medium
30,medium
15,easy
42,medium
105,difficult
50,medium
78,difficult
30,medium
30,medium
46,medium
60,medium
150,difficult
60,medium
20,easy
32,medium
180,difficult
40,medium
33,medium
75,difficult
30,medium
30,medium
10,easy
70,difficult
30,medium
20,easy
80,difficult
18,easy
15,easy
150,difficult
30,medium
90,difficult
50,medium
126,difficult
40,medium
70,difficult
75,difficult
65,difficult
60,medium
30,medium
125,difficult
55,medium
240,difficult
15,easy
35,medium
35,medium
30,medium
80,difficult
43,medium
180,difficult
60,medium
15,easy
260,difficult
60,medium
90,difficult
65,difficult
50,medium
25,easy
105,difficult
90,difficult
30,medium
40,medium
45,medium
25,easy
132,difficult
45,medium
50,medium
60,medium
30,medium
50,medium
120,difficult
38,medium
135,difficult
10,easy
35,medium
40,medium
60,medium
30,medium
30,medium
40,medium
55,medium
50,medium
300,difficult
26,easy
45,medium
15,easy
1260,difficult
65,difficult
75,difficult
1465,difficult
260,difficult
90,difficult
100,difficult
50,medium
40,medium
40,medium
75,difficult
30,medium
105,difficult
200,difficult
40,medium
40,medium
70,difficult
25,easy
40,medium
145,difficult
45,medium
960,difficult
70,difficult
60,medium
75,difficult
60,medium
65,difficult
50,medium
80,difficult
40,medium
45,medium
20,easy
40,medium
25,easy
30,medium
80,difficult
55,medium
30,medium
35,medium
10,easy
35,medium
20,easy
20,easy
200,difficult
80,difficult
200,difficult
140,difficult
5,easy
75,difficult
20,easy
30,medium
20,easy
20,easy
55,medium
45,medium
30,medium
260,difficult
45,medium
330,difficult
1010,difficult
40,medium
55,medium
20,easy
20,easy
30,medium
110,difficult
15,easy
15,easy
45,medium
20,easy
35,medium
20,easy
50,medium
30,medium
13,easy
10,easy
13,easy
